generation,fitness
656,6033889
657,6032988
658,6032760.5
659,6025258
660,6022346.5
661,6019595
662,6012583
663,6012583
664,6012583
665,6011473
666,6008249.5
667,5998233
668,5998233
669,5998233
670,5990614
671,5990614
672,5990614
673,5986832
674,5985844
675,5982558
676,5977916
677,5977916
678,5976506
679,5973195.5
680,5967732
681,5962976.5
682,5962976.5
683,5962976.5
684,5959687
685,5958084.5
686,5948389.5
687,5948389.5
688,5944187
689,5944187
690,5944187
691,5942917
692,5940980
693,5934021.5
694,5931810
695,5931810
696,5926815
697,5923529
698,5923257
699,5919174.5
700,5912188.5
701,5905745
702,5905161.5
703,5900834.5
704,5902321.5
705,5899503
706,5896331.5
707,5890996
708,5888464.5
709,5884675.5
710,5884675.5
711,5880340.5
712,5878409
713,5874443
714,5866630
715,5863651
716,5861018
717,5856280
718,5856280
719,5856280
720,5855954
721,5854441.5
722,5848623
723,5845481
724,5842590
725,5840055
726,5838756
727,5835468
728,5835468
729,5830034
730,5830034
731,5828044.5
732,5824213.5
733,5821452.5
734,5819167.5
735,5819167.5
736,5816286
737,5808140.5
738,5810931.5
739,5802239
740,5800559
741,5795125
742,5795125
743,5795125
744,5792401
745,5788374.5
746,5786151.5
747,5785023
748,5773936
749,5773936
750,5773936
751,5773936
752,5771182
753,5768509
754,5763803
755,5763346
756,5756262
757,5756262
758,5756262
759,5755854
760,5752587.5
761,5743263.5
762,5743155.5
763,5741393
764,5738116
765,5735438.5
766,5734384.5
767,5730493
768,5723634.5
769,5722317
770,5716776
771,5716776
772,5713249
773,5712870
774,5712870
775,5706944.5
776,5701301.5
777,5701301.5
778,5701301.5
779,5701081
780,5697620.5
781,5694722.5
782,5692995
783,5688734
784,5686265.5
785,5685563.5
786,5682464
787,5680451
788,5676328
789,5676328
790,5668739
791,5668739
792,5666767
793,5662427
794,5662000
795,5659292.5
796,5658499
797,5655430
798,5655245
799,5649174.5
800,5645444
801,5640802
802,5638525.5
803,5637750
804,5631408
805,5631408
806,5631408
807,5627367.5
808,5625152
809,5623213
810,5617064.5
811,5617064.5
812,5612514.5
813,5609739
814,5606037
815,5603963
816,5596541
817,5596541
818,5596541
819,5593215.5
820,5593215.5
821,5590773
822,5585058
823,5582415
824,5575757
825,5572665.5
826,5572622
827,5565225
828,5565225
829,5565225
830,5562070
831,5560572
832,5556006
833,5556065
834,5552091
835,5552091
836,5547565
837,5547565
838,5546685
839,5542252.5
840,5537722
841,5533292
842,5530297
843,5529230
844,5527033
845,5525681
846,5525681
847,5522314
848,5520778.5
849,5517173
850,5515602.5
851,5509690
852,5506390.5
853,5499232
854,5499232
855,5497506
856,5492779
857,5492779
858,5492697
859,5492697
860,5487840.5
861,5487840.5
862,5482182.5
863,5482182.5
864,5481442
865,5481442
866,5477496.5
867,5477475
868,5477117.5
869,5473504.5
870,5471128.5
871,5466979.5
872,5464040
873,5462340
874,5460994
875,5453632
876,5452996.5
877,5448884
878,5448739
879,5448739
880,5444813
881,5441801
882,5441801
883,5438042
884,5435705
885,5433044
886,5432441.5
887,5426283.5
888,5424074
889,5424074
890,5421898.5
891,5416303.5
892,5415274.5
893,5409775
894,5407460
895,5404268
896,5401773
897,5403886
898,5398086
899,5398086
900,5397770
901,5395750
902,5390230
903,5390230
904,5384600
905,5384600
906,5384506.5
907,5379707
908,5372136
909,5372136
910,5370701
911,5370701
912,5366790.5
913,5363864
914,5358975
915,5358975
916,5358975
917,5357995.5
918,5355339
919,5352551
920,5348999.5
921,5348999.5
922,5348015
923,5344452
924,5342854
925,5336702
926,5337127
927,5336421.5
928,5331491.5
929,5329552
930,5329325
931,5327289.5
932,5322005
933,5318707
934,5317331
935,5312576
936,5312576
937,5312576
938,5310329
939,5307638
940,5306145.5
941,5305256
942,5296441
943,5296441
944,5293183
945,5293183
946,5288067.5
947,5288067.5
948,5288067.5
949,5285261
950,5283796
951,5280861
952,5280428
953,5274945
954,5271713.5
955,5271713.5
956,5266174
957,5266174
958,5265550.5
959,5265151.5
960,5265151.5
961,5262994
962,5261305
963,5259532
964,5251321.5
965,5251321.5
966,5247038
967,5247038
968,5243789.5
969,5240279.5
970,5238721
971,5235790.5
972,5234599.5
973,5232552
974,5229712
975,5227033.5
976,5227033.5
977,5221648.5
978,5219824.5
979,5219231.5
980,5219070
981,5216821.5
982,5215015
983,5215015
984,5212295
985,5207958
986,5205615.5
987,5199872.5
988,5199872.5
989,5199872.5
990,5195861.5
991,5194530.5
992,5194530.5
993,5191938.5
994,5189090
995,5189090
996,5185053
997,5184641.5
998,5183653
999,5183333
1000,5178973.5
1001,5176489
1002,5176489
1003,5174933
1004,5172788
1005,5171254
1006,5171254
1007,5165066
1008,5165066
1009,5162622
1010,5158359
1011,5152805
1012,5152805
1013,5152805
1014,5152805
1015,5150786
1016,5147801
1017,5146551.5
1018,5146209.5
1019,5146209.5
1020,5143153.5
1021,5142134.5
1022,5141209
1023,5135924.5
1024,5133489.5
1025,5133064.5
1026,5130478
1027,5130478
1028,5128377
1029,5126111
1030,5124063
1031,5120145
1032,5118673
1033,5114733.5
1034,5110525
1035,5110525
1036,5110525
1037,5106449.5
1038,5106449.5
1039,5105617
1040,5100927
1041,5098967.5
1042,5098399
1043,5096347
1044,5095282
1045,5093164.5
1046,5091802.5
1047,5085124
1048,5085124
1049,5079793
1050,5074016
1051,5074016
1052,5072647
1053,5072647
1054,5070588
1055,5069927
1056,5066114.5
1057,5065892
1058,5065892
1059,5062703.5
1060,5059642
1061,5059642
1062,5059642
1063,5057114
1064,5054243
1065,5054243
