time,P,G(i),H_sun,T2m,WS10m,Int
20190107:0910,53.97,76.43,23.29,0.0,0.0,0.0
20190107:1010,377.79,439.11,27.7,0.0,0.0,0.0
20190107:1110,623.08,742.87,29.1,0.0,0.0,0.0
20190107:1210,149.47,182.93,27.3,0.0,0.0,0.0
20190107:1310,134.53,166.67,22.55,0.0,0.0,0.0
20190107:1410,77.5,103.13,15.43,0.0,0.0,0.0
20190107:1510,15.1,29.47,6.57,0.0,0.0,0.0
20190107:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190107:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190107:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190107:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190107:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190108:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190108:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190108:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190108:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190108:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190108:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190108:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190108:0710,16.49,31.31,7.79,0.0,0.0,0.0
20190108:0810,36.6,56.17,16.49,0.0,0.0,0.0
20190108:0910,44.43,65.38,23.37,0.0,0.0,0.0
20190108:1010,668.99,803.59,27.81,0.0,0.0,0.0
20190108:1110,700.0,846.27,29.24,0.0,0.0,0.0
20190108:1210,545.79,642.76,27.45,0.0,0.0,0.0
20190108:1310,68.52,93.0,22.71,0.0,0.0,0.0
20190108:1410,28.94,46.96,15.59,0.0,0.0,0.0
20190108:1510,15.79,30.39,6.73,0.0,0.0,0.0
20190108:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190108:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190108:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190108:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190108:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190109:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190109:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190109:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190109:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190109:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190109:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190109:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190109:0710,11.03,23.94,7.83,0.0,0.0,0.0
20190109:0810,83.25,109.58,16.55,0.0,0.0,0.0
20190109:0910,42.06,62.62,23.46,0.0,0.0,0.0
20190109:1010,55.65,78.35,27.92,0.0,0.0,0.0
20190109:1110,43.26,64.02,29.38,0.0,0.0,0.0
20190109:1210,85.23,111.79,27.61,0.0,0.0,0.0
20190109:1310,38.16,58.01,22.88,0.0,0.0,0.0
20190109:1410,66.89,91.16,15.76,0.0,0.0,0.0
20190109:1510,24.45,41.44,6.89,0.0,0.0,0.0
20190109:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190109:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190109:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190109:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190109:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190110:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190110:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190110:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190110:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190110:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190110:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190110:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190110:0710,32.75,51.57,7.87,0.0,0.0,0.0
20190110:0810,79.14,104.98,16.62,0.0,0.0,0.0
20190110:0910,129.55,161.15,23.55,0.0,0.0,0.0
20190110:1010,166.95,202.19,28.04,0.0,0.0,0.0
20190110:1110,44.08,64.97,29.52,0.0,0.0,0.0
20190110:1210,560.12,661.0,27.77,0.0,0.0,0.0
20190110:1310,142.82,175.88,23.05,0.0,0.0,0.0
20190110:1410,71.78,96.69,15.93,0.0,0.0,0.0
20190110:1510,24.45,41.44,7.06,0.0,0.0,0.0
20190110:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190110:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190110:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190110:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190110:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190111:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190111:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190111:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190111:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190111:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190111:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190111:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190111:0710,33.52,52.49,7.92,0.0,0.0,0.0
20190111:0810,94.78,122.47,16.69,0.0,0.0,0.0
