time,P,G(i),H_sun,T2m,WS10m,Int
20190107:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190107:1830,0.0,4.3,13.93,0.0,0.0,0.0
20190107:1930,72.59,97.74,27.72,0.0,0.0,0.0
20190107:2030,224.82,265.08,41.58,0.0,0.0,0.0
20190107:2130,322.96,374.42,55.38,0.0,0.0,0.0
20190107:2230,472.22,552.22,68.77,0.0,0.0,0.0
20190107:2330,539.51,636.49,79.66,0.0,0.0,0.0
20190108:0030,471.56,555.01,77.14,0.0,0.0,0.0
20190108:0130,604.77,720.66,64.87,0.0,0.0,0.0
20190108:0230,491.02,576.13,51.27,0.0,0.0,0.0
20190108:0330,454.45,534.73,37.41,0.0,0.0,0.0
20190108:0430,331.52,396.44,23.55,0.0,0.0,0.0
20190108:0530,161.47,215.15,9.8,0.0,0.0,0.0
20190108:0630,0.0,0.0,-3.71,0.0,0.0,0.0
20190108:0730,0.0,0.0,-16.82,0.0,0.0,0.0
20190108:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190108:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190108:1830,1.05,8.0,13.82,0.0,0.0,0.0
20190108:1930,47.01,68.46,27.61,0.0,0.0,0.0
20190108:2030,204.74,243.6,41.49,0.0,0.0,0.0
20190108:2130,372.25,434.86,55.31,0.0,0.0,0.0
20190108:2230,442.31,517.84,68.73,0.0,0.0,0.0
20190108:2330,577.98,690.15,79.72,0.0,0.0,0.0
20190109:0030,609.0,728.78,77.3,0.0,0.0,0.0
20190109:0130,657.18,791.62,65.0,0.0,0.0,0.0
20190109:0230,611.47,731.95,51.37,0.0,0.0,0.0
20190109:0330,473.38,557.52,37.5,0.0,0.0,0.0
20190109:0430,333.53,399.65,23.63,0.0,0.0,0.0
20190109:0530,185.5,250.83,9.87,0.0,0.0,0.0
20190109:0630,0.0,0.0,-3.66,0.0,0.0,0.0
20190109:0730,0.0,0.0,-16.79,0.0,0.0,0.0
20190109:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190109:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190109:1830,0.6,7.0,13.7,0.0,0.0,0.0
20190109:1930,57.78,80.95,27.51,0.0,0.0,0.0
20190109:2030,152.12,185.41,41.4,0.0,0.0,0.0
20190109:2130,239.32,282.27,55.23,0.0,0.0,0.0
20190109:2230,332.18,388.09,68.69,0.0,0.0,0.0
20190109:2330,528.31,625.07,79.79,0.0,0.0,0.0
20190110:0030,439.66,515.69,77.47,0.0,0.0,0.0
20190110:0130,411.5,482.48,65.13,0.0,0.0,0.0
20190110:0230,338.8,394.59,51.48,0.0,0.0,0.0
20190110:0330,281.71,330.1,37.6,0.0,0.0,0.0
20190110:0430,219.82,263.97,23.71,0.0,0.0,0.0
20190110:0530,127.84,171.92,9.93,0.0,0.0,0.0
20190110:0630,0.0,0.0,-3.61,0.0,0.0,0.0
20190110:0730,0.0,0.0,-16.76,0.0,0.0,0.0
20190110:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190110:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190110:1830,0.58,6.95,13.59,0.0,0.0,0.0
20190110:1930,49.73,71.61,27.41,0.0,0.0,0.0
20190110:2030,156.0,190.04,41.31,0.0,0.0,0.0
20190110:2130,299.91,350.13,55.17,0.0,0.0,0.0
20190110:2230,429.17,501.39,68.66,0.0,0.0,0.0
20190110:2330,527.78,624.76,79.87,0.0,0.0,0.0
20190111:0030,568.83,677.79,77.64,0.0,0.0,0.0
20190111:0130,532.39,630.9,65.26,0.0,0.0,0.0
20190111:0230,476.83,560.23,51.59,0.0,0.0,0.0
20190111:0330,394.85,463.34,37.69,0.0,0.0,0.0
20190111:0430,321.72,384.62,23.78,0.0,0.0,0.0
20190111:0530,167.05,236.97,9.99,0.0,0.0,0.0
20190111:0630,0.0,0.0,-3.57,0.0,0.0,0.0
20190111:0730,0.0,0.0,-16.73,0.0,0.0,0.0
20190111:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190111:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1830,3.02,13.0,13.48,0.0,0.0,0.0
20190111:1930,136.94,170.4,27.31,0.0,0.0,0.0
20190111:2030,306.3,353.12,41.22,0.0,0.0,0.0
20190111:2130,520.53,605.73,55.1,0.0,0.0,0.0
20190111:2230,644.64,767.55,68.62,0.0,0.0,0.0
20190111:2330,691.41,832.76,79.95,0.0,0.0,0.0
20190112:0030,724.21,879.15,77.81,0.0,0.0,0.0
20190112:0130,727.65,887.02,65.39,0.0,0.0,0.0
20190112:0230,631.93,753.47,51.69,0.0,0.0,0.0
20190112:0330,444.54,520.44,37.77,0.0,0.0,0.0
20190112:0430,254.92,306.68,23.86,0.0,0.0,0.0
20190112:0530,183.91,263.91,10.05,0.0,0.0,0.0
20190112:0630,0.0,0.0,-3.52,0.0,0.0,0.0
20190112:0730,0.0,0.0,-16.71,0.0,0.0,0.0
20190112:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190112:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1830,2.38,11.49,13.36,0.0,0.0,0.0
20190112:1930,102.73,131.88,27.21,0.0,0.0,0.0
20190112:2030,294.21,340.39,41.14,0.0,0.0,0.0
20190112:2130,399.13,462.17,55.03,0.0,0.0,0.0
20190112:2230,604.32,717.31,68.59,0.0,0.0,0.0
20190112:2330,717.05,870.79,80.03,0.0,0.0,0.0
20190113:0030,777.39,959.26,77.99,0.0,0.0,0.0
20190113:0130,687.51,832.11,65.52,0.0,0.0,0.0
